Review ID,Product Name,Review Content,Timestamp,Customer Email,Product Category,Order Value,Fulfillment Status,Shipping Country,Rating_missing,Rating,Order Value_missing,Fulfillment Status_missing,Shipping Country_missing
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Cross-Group Web-Enabled Encoding,Pressure let kind degree list top somebody college be middle plan friend stand seem pull different current agency each little sure authority increase picture create recent manager.,04-03-2025 01:23,williamsdarlene@baker.org,Evening Gowns,292.3,Fulfilled,Germany,1,2.780821918,1,0,0
23b8c1e9-3924-46de-beb1-3b9046685257,Down-Sized Incremental Matrix,Challenge reach throughout team those sing despite sound receive let newspaper.,10-05-2025 16:21,ismall@may-turner.com,Prom Dresses,197.72,Unknown,Australia,0,1,0,1,0
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Polarized Didactic Initiative,Lead soon property.,09-03-2025 11:07,shawn02@yahoo.com,Cocktail Dresses,485.1,Unknown,Germany,0,1,0,1,0
972a8469-1641-4f82-8b9d-2434e465e150,Centralized Composite Implementation,Other wear through partner rest.,18-05-2025 18:41,vmarshall@hotmail.com,Prom Dresses,338.67,Delayed,United States,1,2.780821918,0,0,0
17fc695a-07a0-4a6e-8822-e8f36c031199,Adaptive Human-Resource Firmware,Interview trade knowledge city technology late seem style everyone sing machine dream key require doctor from throw ball.,13-01-2025 14:38,michelle55@anderson-wood.net,Plus Size Dresses,491.52,Cancelled,Germany,0,3,0,0,0
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Persevering Executive Interface,Discuss really relationship ask imagine my indeed.,17-04-2025 19:10,john14@wright-davis.com,Cocktail Dresses,472.66,Fulfilled,Canada,0,2,0,0,0
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Total Upward-Trending Toolset,Strategy hope show watch affect thing offer local wall fear hope.,16-04-2025 06:42,kwright@yahoo.com,Prom Dresses,486.68,Delaye,United States,0,2,0,0,0
6b65a6a4-8b81-48f6-b38a-088ca65ed389,Realigned Stable Structure,Mrs same son today major event magazine home protect something right subject try wonder move trade option production base investment.,26-02-2025 09:11,kathrynjimenez@hotmail.com,Cocktail Dresses,483.14,Fulfilled,Canada,0,2,0,0,0
47378190-96da-4dac-b2ff-5d2a386ecbe0,Pre-Emptive Coherent Core,Consider employee force lawyer front they everything week instead strong like see appear weight difference attention whatever American all easy.,28-02-2025 05:53,fkoch@gmail.com,Plus Size Dresses,98.78,Cancelled,United Kingdom,1,2.780821918,0,0,0
c241330b-01a9-471f-9e8a-774bcf36d58b,Implemented Didactic Approach,Perform draw list boy.,31-01-2025 14:01,pwagner@aguilar.com,Cocktail Dresses,377.85,Delaye,United Kingdom,0,1,0,0,0
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Reduced User-Facing Moratorium,Let eight hard paper white responsibility sing clearly find official up office traditional heart walk cup option.,19-05-2025 05:16,pharper@hotmail.com,Bridesmaid Dresses,322.79,Fufilled,Germany,1,2.780821918,0,0,0
371ecd7b-27cd-4130-8722-9389571aa876,Centralized Value-Added Functionalities,Drug recent feeling range south someone not American mouth product attention positive actually information majority item gun through least check computer miss.,18-05-2025 18:48,amanda16@gmail.com,Plus Size Dresses,223.34,Returned,Canada,1,2.780821918,0,0,0
